No.     Time           Source                Destination           Protocol Length Info
    102 19.593425000   192.168.1.100         216.58.196.99         UDP      79     Source port: 58560  Destination port: https
    103 19.630553000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
    104 19.644126000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
    105 19.644411000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
    106 19.657638000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
    107 19.657684000   216.58.196.99         192.168.1.100         UDP      77     Source port: https  Destination port: 58560
    108 19.677515000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
    109 19.677762000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
    110 19.677808000   192.168.1.100         216.58.196.99         UDP      85     Source port: 58560  Destination port: https
    111 19.703220000   192.168.1.100         216.58.196.99         UDP      79     Source port: 58560  Destination port: https
    112 19.711067000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
    113 19.711222000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
    114 19.711363000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
    115 19.717114000   216.58.196.99         192.168.1.100         UDP      1268   Source port: https  Destination port: 58560
    116 19.717236000   216.58.196.99         192.168.1.100         UDP      83     Source port: https  Destination port: 58560
    117 19.717523000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
    118 19.737181000   216.58.196.99         192.168.1.100         UDP      525    Source port: https  Destination port: 58560
    119 19.763180000   192.168.1.100         216.58.196.99         UDP      79     Source port: 58560  Destination port: https
    120 19.785866000   192.168.1.100         216.58.196.99         UDP      825    Source port: 58560  Destination port: https
    121 19.800871000   192.168.1.100         192.168.1.1           DNS      76     Standard query 0x10a0  A daisy.ubuntu.com
    122 19.800900000   192.168.1.100         192.168.1.1           DNS      76     Standard query 0x979f  AAAA daisy.ubuntu.com
    123 19.844810000   64.233.161.120        192.168.1.100         UDP      1392   Source port: https  Destination port: 43165
    124 19.845401000   64.233.161.120        192.168.1.100         UDP      79     Source port: https  Destination port: 43165
    125 19.845524000   216.58.196.99         192.168.1.100         UDP      116    Source port: https  Destination port: 58560
    126 19.845716000   64.233.161.120        192.168.1.100         UDP      1392   Source port: https  Destination port: 43165
    127 19.846199000   192.168.1.100         64.233.161.120        UDP      1392   Source port: 43165  Destination port: https
    128 19.846264000   192.168.1.100         64.233.161.120        UDP      85     Source port: 43165  Destination port: https
    129 19.907459000   192.168.1.1           192.168.1.100         DNS      258    Standard query response 0x10a0  A 91.189.92.57 A 91.189.92.55
    130 19.914108000   192.168.1.1           192.168.1.100         DNS      137    Standard query response 0x979f 
    131 19.944078000   64.233.161.120        192.168.1.100         UDP      1392   Source port: https  Destination port: 43165
    132 19.944116000   216.58.196.99         192.168.1.100         UDP      95     Source port: https  Destination port: 58560
    133 19.969618000   192.168.1.100         64.233.161.120        UDP      79     Source port: 43165  Destination port: https
    134 19.985719000   216.58.196.99         192.168.1.100         UDP      83     Source port: https  Destination port: 58560
    135 19.992124000   192.168.1.100         192.168.1.1           DNS      76     Standard query 0xde5d  A www.facebook.com
    136 20.011262000   192.168.1.100         216.58.196.99         UDP      85     Source port: 58560  Destination port: https
    138 20.128036000   192.168.1.1           192.168.1.100         DNS      212    Standard query response 0xde5d  CNAME star-mini.c10r.facebook.com A 31.13.79.220
    143 20.359334000   64.233.161.120        192.168.1.100         UDP      1392   Source port: https  Destination port: 43165
    144 20.359724000   192.168.1.100         64.233.161.120        UDP      79     Source port: 43165  Destination port: https
    145 20.368941000   64.233.161.120        192.168.1.100         UDP      74     Source port: https  Destination port: 43165
    162 20.823366000   192.168.1.100         192.168.1.1           DNS      83     Standard query 0x819e  A z-1-static.xx.fbcdn.net
    163 20.901309000   192.168.1.1           192.168.1.100         DNS      229    Standard query response 0x819e  CNAME z-1-scontent.xx.fbcdn.net A 31.13.79.208
    168 21.013726000   192.168.1.100         216.58.196.99         UDP      142    Source port: 58560  Destination port: https
    180 21.146237000   216.58.196.99         192.168.1.100         UDP      74     Source port: https  Destination port: 58560
    181 21.146478000   216.58.196.99         192.168.1.100         UDP      1351   Source port: https  Destination port: 58560
